customer_id,total_orders,total_sales,avg_order_value,first_order_date,last_order_date,recency_days,return_count,review_count,avg_rating,customer_lifetime_value,customer_segment
C00058,14,1039.57,74.25,2024-11-29,2025-12-05,26,1,4,4.50,1039.57,Regular
C00059,10,1020.45,102.05,2025-10-06,2025-12-31,0,1,8,4.25,1020.45,Loyal
C00060,19,1527.74,80.41,2024-12-20,2025-12-27,4,2,6,4.50,1527.74,Regular
C00061,8,553.18,69.15,2025-03-09,2025-12-26,5,0,5,4.60,553.18,Regular
C00062,0,0.00,0.00,,,,0,0,,0.00,Regular
C00063,12,1157.13,96.43,2025-05-11,2025-12-29,2,0,7,3.43,1157.13,Loyal
C00064,0,0.00,0.00,,,,0,0,,0.00,Regular
C00065,8,703.87,87.98,2025-10-01,2025-12-31,0,0,1,5.00,703.87,Regular
C00066,26,2236.89,86.03,2024-03-16,2025-12-19,12,4,11,4.64,2236.89,Regular
C00067,5,253.05,50.61,2024-04-29,2025-07-14,170,0,1,5.00,253.05,New
C00068,9,901.30,100.14,2025-09-24,2025-12-30,1,1,6,4.50,901.30,Loyal
C00069,5,322.21,64.44,2025-07-29,2025-12-13,18,0,1,3.00,322.21,Regular
C00070,87,10076.33,115.82,2024-11-15,2025-12-31,0,8,56,4.32,10076.33,VIP
C00071,91,9374.42,103.02,2023-04-27,2025-12-07,24,5,40,4.17,9374.42,Loyal
C00072,2,100.61,50.30,2025-12-27,2025-12-31,0,0,1,5.00,100.61,Regular
C00073,25,2251.93,90.08,2024-09-22,2025-11-27,34,2,7,4.14,2251.93,Regular
C00074,23,2038.99,88.65,2024-05-01,2025-11-25,36,1,12,4.17,2038.99,Regular
C00075,30,2572.93,85.76,2024-02-23,2025-12-18,13,2,3,5.00,2572.93,Regular
C00076,0,0.00,0.00,,,,0,0,,0.00,New
C00077,10,604.39,60.44,2025-02-24,2025-12-27,4,0,1,4.00,604.39,Regular
C00078,8,469.93,58.74,2025-06-15,2025-12-17,14,0,3,4.67,469.93,Regular
C00079,19,1436.90,75.63,2023-04-12,2025-02-05,329,0,3,4.00,1436.90,New
C00080,3,214.66,71.55,2025-08-11,2025-09-11,111,0,0,,214.66,Regular
C00081,0,0.00,0.00,,,,0,0,,0.00,VIP
C00082,53,4740.08,89.44,2023-07-22,2025-12-22,9,1,13,4.08,4740.08,Regular
C00083,34,3533.14,103.92,2025-02-03,2025-12-27,4,3,22,4.32,3533.14,Loyal
C00084,5,381.29,76.26,2025-07-19,2025-09-25,97,0,3,4.00,381.29,Regular
C00085,2,110.27,55.14,2025-12-02,2025-12-20,11,0,3,4.33,110.27,Regular
C00086,74,6705.38,90.61,2023-02-28,2025-11-04,57,8,32,4.06,6705.38,Regular
C00087,7,826.53,118.08,2025-11-27,2025-12-28,3,1,3,4.00,826.53,VIP
C00088,0,0.00,0.00,,,,0,0,,0.00,Regular
C00089,36,2492.28,69.23,2023-09-30,2025-11-28,33,1,9,4.56,2492.28,Regular
C00090,8,375.41,46.93,2025-05-26,2025-12-26,5,0,2,4.00,375.41,Regular
C00091,15,1004.19,66.95,2025-06-14,2025-12-19,12,2,4,4.25,1004.19,Regular
C00092,56,5258.74,93.91,2023-04-08,2025-12-21,10,8,16,4.19,5258.74,Regular
C00093,15,1217.12,81.14,2024-09-06,2025-12-03,28,0,8,4.00,1217.12,Regular
C00094,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00095,0,0.00,0.00,,,,0,0,,0.00,New
C00096,0,0.00,0.00,,,,0,0,,0.00,Regular
C00097,5,320.03,64.01,2025-11-13,2025-12-07,24,0,1,5.00,320.03,Regular
C00098,59,4763.03,80.73,2023-03-22,2025-12-06,25,1,20,4.45,4763.03,Regular
C00099,10,819.20,81.92,2025-09-21,2025-12-24,7,0,3,4.00,819.20,Loyal
C00100,0,0.00,0.00,,,,0,0,,0.00,New
C00101,22,1870.03,85.00,2024-06-18,2025-12-08,23,2,10,4.30,1870.03,Regular
C00102,0,0.00,0.00,,,,0,0,,0.00,Regular
C00103,7,776.52,110.93,2025-03-30,2025-12-16,15,0,3,4.00,776.52,Regular
C00104,17,1013.28,59.60,2024-11-24,2025-12-05,26,1,9,4.67,1013.28,Regular
C00105,12,927.79,77.32,2025-04-15,2025-11-19,42,1,2,4.50,927.79,Regular
C00106,5,536.47,107.29,2025-11-05,2025-12-31,0,0,3,4.00,536.47,Regular
C00107,25,2177.27,87.09,2024-06-01,2025-12-23,8,3,10,4.80,2177.27,Regular
C00108,25,2167.35,86.69,2024-03-22,2025-12-11,20,0,9,4.11,2167.35,New
C00109,6,391.74,65.29,2025-06-10,2025-12-07,24,0,1,4.00,391.74,New
C00110,0,0.00,0.00,,,,0,0,,0.00,Regular
C00111,11,1199.92,109.08,2024-08-13,2025-12-26,5,1,4,3.75,1199.92,Regular
C00112,2,220.09,110.05,2025-12-16,2025-12-17,14,0,1,4.00,220.09,New
C00113,11,705.38,64.13,2025-03-05,2025-12-26,5,0,3,4.33,705.38,Regular
C00114,3,145.80,48.60,2025-11-30,2025-12-20,11,0,2,4.50,145.80,Regular
C00115,8,687.28,85.91,2025-01-09,2025-11-02,59,0,1,4.00,687.28,Regular
C00116,0,0.00,0.00,,,,0,0,,0.00,New
C00117,20,1179.53,58.98,2024-08-11,2025-12-20,11,1,4,4.50,1179.53,Regular
C00118,14,1458.15,104.15,2024-01-24,2025-11-29,32,2,9,4.56,1458.15,New
C00119,0,0.00,0.00,,,,0,0,,0.00,Regular
C00120,18,1261.69,70.09,2024-11-23,2025-12-29,2,1,9,4.78,1261.69,Regular
C00121,0,0.00,0.00,,,,0,0,,0.00,Regular
C00122,256,24786.10,96.82,2023-02-28,2025-12-30,1,9,128,4.27,24786.10,Loyal
C00123,21,1737.53,82.74,2024-02-08,2025-11-17,44,0,6,4.33,1737.53,Regular
C00124,5,368.82,73.76,2025-01-23,2025-11-26,35,0,2,3.50,368.82,New
C00125,14,1200.81,85.77,2024-06-16,2025-12-16,15,2,1,5.00,1200.81,Regular
C00126,92,8718.34,94.76,2023-08-22,2025-12-22,9,5,62,4.21,8718.34,Loyal
C00127,105,8552.56,81.45,2023-04-19,2025-12-11,20,2,27,4.33,8552.56,Regular
C00128,21,2489.41,118.54,2024-08-19,2025-12-24,7,2,5,4.00,2489.41,Regular
C00129,2,50.59,25.30,2025-07-28,2025-07-28,156,0,0,,50.59,New
C00130,114,13150.38,115.35,2023-08-30,2025-12-11,20,9,65,4.25,13150.38,VIP
C00131,0,0.00,0.00,,,,0,0,,0.00,New
C00132,0,0.00,0.00,,,,0,0,,0.00,VIP
C00133,25,2341.63,93.67,2024-04-18,2025-12-28,3,3,9,4.11,2341.63,Regular
C00134,40,3211.89,80.30,2024-12-23,2025-12-21,10,1,20,4.50,3211.89,Loyal
C00135,31,2418.19,78.01,2023-03-21,2025-11-28,33,2,9,4.11,2418.19,New
C00136,9,945.85,105.09,2025-08-22,2025-12-17,14,0,5,4.00,945.85,Loyal
C00137,56,5528.50,98.72,2023-12-30,2025-12-30,1,3,27,4.26,5528.50,Loyal
C00138,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00139,17,2016.65,118.63,2025-05-02,2025-12-24,7,0,5,4.40,2016.65,Regular
C00140,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00141,23,2075.24,90.23,2024-10-16,2025-12-21,10,2,2,4.50,2075.24,Regular
C00142,17,1598.04,94.00,2025-02-06,2025-10-20,72,0,5,4.00,1598.04,Regular
C00143,0,0.00,0.00,,,,0,0,,0.00,New
C00144,30,2731.22,91.04,2024-03-25,2025-12-28,3,0,9,4.44,2731.22,Regular
C00145,19,1832.97,96.47,2023-05-23,2025-12-10,21,2,8,3.75,1832.97,New
C00146,27,2388.18,88.45,2024-05-31,2025-12-02,29,1,6,4.50,2388.18,Regular
C00147,33,2686.59,81.41,2024-07-09,2025-12-29,2,1,18,4.56,2686.59,Regular
C00148,7,530.31,75.76,2025-07-16,2025-12-18,13,0,4,4.25,530.31,New
C00149,248,29026.52,117.04,2023-02-15,2025-12-05,26,26,152,4.20,29026.52,VIP
C00150,6,449.56,74.93,2025-10-22,2025-12-13,18,0,2,4.50,449.56,New
C00151,4,387.61,96.90,2025-11-08,2025-12-14,17,1,2,5.00,387.61,Regular
C00152,37,3684.17,99.57,2024-08-24,2025-12-09,22,1,17,4.06,3684.17,Loyal
C00153,57,5342.70,93.73,2023-05-10,2025-12-02,29,2,14,4.36,5342.70,Regular
C00154,8,469.09,58.64,2025-03-13,2025-11-29,32,0,5,4.60,469.09,Regular
C00155,144,17529.67,121.73,2023-12-03,2025-12-27,4,10,94,4.31,17529.67,VIP
C00156,84,7133.04,84.92,2023-01-25,2025-12-01,30,4,31,4.39,7133.04,New
C00157,3,182.43,60.81,2025-09-08,2025-12-17,14,0,1,5.00,182.43,New
C00158,99,7822.48,79.01,2023-05-15,2025-12-23,8,3,37,4.35,7822.48,Regular
C00159,55,5093.15,92.60,2024-02-24,2025-11-30,31,4,26,4.04,5093.15,Loyal
C00160,8,915.05,114.38,2025-09-17,2025-12-05,26,0,4,4.50,915.05,Loyal
C00161,11,605.95,55.09,2024-05-05,2025-12-04,27,0,2,3.50,605.95,New
C00162,119,12199.49,102.52,2023-04-02,2025-12-16,15,10,54,4.31,12199.49,Loyal
C00163,14,1101.73,78.70,2024-11-19,2025-12-12,19,0,4,3.75,1101.73,New
C00164,2,152.46,76.23,2025-11-10,2025-12-16,15,0,0,,152.46,New
C00165,10,859.64,85.96,2025-03-22,2025-12-01,30,0,6,4.33,859.64,Regular
C00166,8,611.71,76.46,2024-08-25,2025-09-21,101,0,1,3.00,611.71,New
C00167,24,1808.49,75.35,2024-02-23,2025-12-28,3,2,8,3.62,1808.49,Regular
C00168,10,1164.54,116.45,2025-03-01,2025-12-21,10,1,11,4.27,1164.54,Regular
C00169,41,3156.62,76.99,2023-06-11,2025-12-24,7,0,9,3.89,3156.62,Regular
C00170,9,1433.56,159.28,2025-10-09,2025-12-16,15,2,6,4.33,1433.56,VIP
C00171,6,375.65,62.61,2025-11-24,2025-12-24,7,0,1,3.00,375.65,VIP
C00172,23,1601.46,69.63,2024-06-17,2025-11-30,31,1,2,4.00,1601.46,Regular
C00173,28,2228.57,79.59,2023-05-26,2025-11-01,60,1,11,4.27,2228.57,New
C00174,42,3744.03,89.14,2023-11-19,2025-12-22,9,1,20,4.25,3744.03,Regular
C00175,4,282.97,70.74,2025-08-01,2025-11-17,44,1,0,,282.97,New
C00176,37,3659.78,98.91,2024-11-13,2025-12-31,0,0,24,4.04,3659.78,Loyal
C00177,10,700.86,70.09,2024-12-05,2025-12-14,17,0,9,4.44,700.86,Regular
C00178,0,0.00,0.00,,,,0,0,,0.00,Regular
C00179,120,14023.04,116.86,2023-07-30,2025-12-16,15,8,78,4.27,14023.04,VIP
C00180,46,5450.98,118.50,2025-05-16,2025-12-30,1,7,27,4.33,5450.98,VIP
C00181,10,846.72,84.67,2023-11-24,2025-11-01,60,1,1,5.00,846.72,New
C00182,74,9105.46,123.05,2024-04-10,2025-12-05,26,4,43,4.16,9105.46,VIP
C00183,57,5185.53,90.97,2023-08-26,2025-12-20,11,5,23,4.13,5185.53,New
C00184,30,2554.36,85.15,2023-12-15,2025-12-20,11,1,7,4.57,2554.36,Regular
C00185,6,536.75,89.46,2025-03-06,2025-12-04,27,0,1,3.00,536.75,Regular
C00186,29,2293.28,79.08,2024-11-19,2025-12-13,18,2,11,4.09,2293.28,Regular
C00187,3,214.53,71.51,2025-07-31,2025-12-10,21,0,0,,214.53,Regular
C00188,9,941.25,104.58,2025-05-04,2025-12-17,14,1,5,4.40,941.25,Regular
C00189,32,2666.07,83.31,2023-08-24,2025-12-29,2,1,13,4.31,2666.07,Regular
C00190,29,2974.79,102.58,2024-11-04,2025-12-20,11,4,18,4.39,2974.79,Loyal
C00191,8,761.24,95.16,2024-10-24,2025-12-20,11,0,0,,761.24,New
C00192,8,526.73,65.84,2025-03-26,2025-12-23,8,0,3,3.67,526.73,Regular
C00193,67,5376.56,80.25,2023-03-18,2025-12-07,24,2,27,4.26,5376.56,Regular
C00194,0,0.00,0.00,,,,0,0,,0.00,New
C00195,1,43.25,43.25,2025-12-14,2025-12-14,17,0,0,,43.25,New
C00196,19,1688.81,88.88,2024-12-28,2025-12-16,15,0,8,4.25,1688.81,Regular
C00197,30,2211.48,73.72,2024-04-12,2025-12-27,4,2,8,4.25,2211.48,Regular
C00198,1,50.52,50.52,2025-11-21,2025-11-21,40,0,0,,50.52,Regular
C00199,0,0.00,0.00,,,,0,0,,0.00,Regular
C00200,11,975.97,88.72,2025-04-04,2025-12-10,21,0,2,4.50,975.97,New
C00201,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00202,40,3362.20,84.06,2023-11-11,2025-12-19,12,1,11,4.18,3362.20,Regular
C00203,8,426.41,53.30,2025-09-10,2025-12-22,9,0,0,,426.41,Regular
C00204,0,0.00,0.00,,,,0,0,,0.00,Regular
C00205,13,888.05,68.31,2025-05-05,2025-12-09,22,2,3,4.33,888.05,Regular
C00206,14,1224.35,87.45,2025-01-03,2025-12-12,19,1,6,3.83,1224.35,Regular
C00207,22,1602.67,72.85,2024-03-27,2025-10-31,61,2,3,3.67,1602.67,Regular
C00208,2,169.74,84.87,2025-09-12,2025-11-21,40,0,0,,169.74,Loyal
C00209,49,4268.77,87.12,2023-09-02,2025-12-03,28,2,13,4.15,4268.77,Regular
C00210,17,1533.68,90.22,2024-10-08,2025-12-28,3,1,6,4.17,1533.68,Regular
C00211,185,23981.63,129.63,2023-04-04,2025-12-31,0,15,114,4.33,23981.63,VIP
C00212,21,1713.66,81.60,2024-02-28,2025-11-15,46,0,6,3.83,1713.66,New
C00213,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00214,41,2949.62,71.94,2023-09-03,2025-11-21,40,0,10,3.80,2949.62,Regular
C00215,19,997.91,52.52,2025-04-09,2025-12-19,12,1,7,4.43,997.91,Regular
C00216,81,7627.42,94.17,2023-07-15,2025-11-15,46,5,49,4.33,7627.42,Loyal
C00217,85,8957.06,105.38,2023-07-26,2025-11-21,40,4,42,4.12,8957.06,Loyal
C00218,24,3017.09,125.71,2024-08-20,2025-12-16,15,1,16,4.31,3017.09,Loyal
C00219,43,3566.83,82.95,2024-04-22,2025-12-11,20,2,22,4.41,3566.83,Regular
C00220,3,248.72,82.91,2025-11-01,2025-11-28,33,0,2,4.50,248.72,Loyal
C00221,0,0.00,0.00,,,,0,0,,0.00,Regular
C00222,0,0.00,0.00,,,,0,0,,0.00,Regular
C00223,9,514.71,57.19,2025-07-01,2025-12-12,19,0,3,5.00,514.71,Regular
C00224,19,2386.26,125.59,2024-11-28,2025-12-06,25,0,14,4.14,2386.26,Loyal
C00225,40,3727.23,93.18,2024-02-10,2025-12-29,2,3,13,4.31,3727.23,Regular
C00226,3,170.74,56.91,2025-10-03,2025-11-29,32,0,0,,170.74,New
C00227,11,1037.54,94.32,2025-01-15,2025-12-12,19,1,2,4.50,1037.54,Regular
C00228,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00229,4,429.73,107.43,2024-09-05,2025-03-04,302,0,0,,429.73,New
C00230,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00231,0,0.00,0.00,,,,0,0,,0.00,Regular
C00232,28,2470.68,88.24,2024-04-18,2025-12-16,15,0,11,4.09,2470.68,Regular
C00233,4,418.14,104.53,2025-10-18,2025-12-30,1,0,2,4.00,418.14,Loyal
C00234,46,4284.76,93.15,2024-08-15,2025-12-02,29,0,21,4.38,4284.76,Loyal
C00235,14,1308.95,93.50,2024-11-06,2025-12-03,28,1,5,4.00,1308.95,Regular
C00236,32,2761.61,86.30,2023-12-13,2025-11-12,49,1,12,4.17,2761.61,Regular
C00237,0,0.00,0.00,,,,0,0,,0.00,Regular
C00238,18,2081.92,115.66,2025-07-28,2025-12-31,0,1,14,4.21,2081.92,VIP
C00239,177,16795.00,94.89,2023-01-26,2025-12-16,15,9,88,4.20,16795.00,Loyal
C00240,3,398.16,132.72,2025-11-07,2025-11-26,35,1,2,4.50,398.16,Loyal
C00241,24,2411.78,100.49,2025-07-04,2025-12-11,20,1,13,4.23,2411.78,VIP
C00242,25,2588.17,103.53,2025-04-12,2025-12-11,20,2,11,4.36,2588.17,VIP
C00243,0,0.00,0.00,,,,0,0,,0.00,Loyal
C00244,133,13213.25,99.35,2023-10-10,2025-12-25,6,9,67,4.30,13213.25,Loyal
C00245,19,1613.81,84.94,2024-02-12,2025-12-29,2,0,8,4.50,1613.81,Regular
C00246,26,2239.88,86.15,2023-05-27,2025-12-12,19,3,17,4.06,2239.88,New
C00247,4,128.45,32.11,2024-11-26,2025-11-22,39,0,2,5.00,128.45,New
C00248,11,970.20,88.20,2025-02-15,2025-12-10,21,0,7,3.86,970.20,New
C00249,61,8520.92,139.69,2024-04-18,2025-12-20,11,6,44,4.18,8520.92,VIP
C00250,31,2148.50,69.31,2023-11-30,2025-10-17,75,2,6,4.33,2148.50,Regular
C00251,53,5099.52,96.22,2024-10-21,2025-12-23,8,0,23,4.43,5099.52,Loyal
C00252,2,115.26,57.63,2025-11-23,2025-12-10,21,0,1,3.00,115.26,Regular
C00253,22,2206.21,100.28,2024-09-25,2025-12-28,3,2,8,3.88,2206.21,Regular
C00254,0,0.00,0.00,,,,0,0,,0.00,Regular
C00255,7,553.03,79.00,2024-11-04,2025-10-29,63,0,1,4.00,553.03,New
C00256,12,1002.26,83.52,2023-11-24,2025-07-27,157,0,1,5.00,1002.26,New
C00257,13,813.14,62.55,2024-09-05,2025-12-16,15,0,3,4.33,813.14,Regular
C00258,15,1301.05,86.74,2024-02-06,2025-12-17,14,1,6,3.83,1301.05,New
C00259,11,1053.54,95.78,2025-02-01,2025-12-14,17,0,6,4.33,1053.54,Regular
C00260,0,0.00,0.00,,,,0,0,,0.00,New
C00261,33,3195.68,96.84,2025-01-20,2025-12-27,4,3,21,4.19,3195.68,Loyal
C00262,11,1138.74,103.52,2024-11-12,2025-12-10,21,1,5,4.20,1138.74,Regular
C00263,281,28425.56,101.16,2023-02-02,2025-12-20,11,22,165,4.27,28425.56,Loyal
C00264,3,174.56,58.19,2025-11-15,2025-12-18,13,0,2,4.50,174.56,Loyal
C00265,12,678.69,56.56,2025-07-07,2025-12-11,20,1,2,4.50,678.69,Regular
C00266,5,367.08,73.42,2025-11-03,2025-12-11,20,0,3,4.00,367.08,Regular
C00267,2,121.94,60.97,2025-11-18,2025-12-18,13,0,2,4.50,121.94,Regular
C00268,34,2590.00,76.18,2023-08-23,2025-12-17,14,2,6,4.33,2590.00,New
C00269,80,7133.35,89.17,2023-03-11,2025-12-19,12,4,30,4.33,7133.35,Regular
C00270,3,214.91,71.64,2025-10-08,2025-11-27,34,0,2,4.50,214.91,Regular
C00271,4,475.64,118.91,2025-11-15,2025-12-30,1,0,1,3.00,475.64,Regular
C00272,7,628.24,89.75,2025-04-25,2025-11-28,33,0,3,4.00,628.24,Regular
C00273,161,13840.83,85.97,2023-01-28,2025-12-27,4,11,64,4.16,13840.83,Loyal
C00274,52,4058.99,78.06,2023-06-28,2025-11-23,38,3,20,4.35,4058.99,Regular
C00275,176,19374.96,110.08,2023-01-22,2025-12-27,4,10,106,4.14,19374.96,Loyal
C00276,0,0.00,0.00,,,,0,0,,0.00,New
C00277,0,0.00,0.00,,,,0,0,,0.00,New
C00278,7,539.92,77.13,2025-06-10,2025-10-24,68,0,2,4.50,539.92,Regular
C00279,4,249.87,62.47,2025-08-30,2025-12-02,29,0,2,4.00,249.87,Regular
C00280,94,12089.88,128.62,2023-11-16,2025-12-29,2,8,63,4.37,12089.88,VIP
C00281,17,1660.68,97.69,2025-02-12,2025-12-01,30,0,4,5.00,1660.68,Loyal
C00282,0,0.00,0.00,,,,0,0,,0.00,Regular
C00283,6,409.12,68.19,2025-06-14,2025-12-24,7,0,2,4.50,409.12,Regular
C00284,35,3144.89,89.85,2024-04-07,2025-11-09,52,3,14,4.21,3144.89,Regular
C00285,19,1500.44,78.97,2024-06-14,2025-11-30,31,4,6,4.00,1500.44,Regular
C00286,23,2266.13,98.53,2023-05-23,2025-09-30,92,0,10,4.20,2266.13,New
C00287,34,3225.95,94.88,2024-10-21,2025-12-29,2,4,14,4.29,3225.95,Loyal
C00288,59,5398.02,91.49,2023-05-10,2025-12-18,13,4,27,4.33,5398.02,Regular
C00289,14,1416.03,101.15,2023-08-24,2025-12-17,14,2,8,4.00,1416.03,New
C00290,116,12041.25,103.80,2023-05-12,2025-12-22,9,5,63,4.17,12041.25,Loyal
C00291,16,2131.42,133.21,2025-06-28,2025-12-20,11,2,13,4.54,2131.42,VIP
C00292,10,634.58,63.46,2024-12-06,2025-11-07,54,1,1,4.00,634.58,New
C00293,0,0.00,0.00,,,,0,0,,0.00,Regular
C00294,0,0.00,0.00,,,,0,0,,0.00,Regular
C00295,22,1381.24,62.78,2024-06-10,2025-12-15,16,0,6,4.50,1381.24,Regular
C00296,62,5036.69,81.24,2023-10-09,2025-11-30,31,1,21,4.14,5036.69,Regular
C00297,0,0.00,0.00,,,,0,0,,0.00,Regular
C00298,0,0.00,0.00,,,,0,0,,0.00,Regular
C00299,48,3447.16,71.82,2024-03-15,2025-12-31,0,1,23,4.30,3447.16,Loyal
C00300,89,8872.14,99.69,2023-05-28,2025-11-27,34,7,35,4.29,8872.14,Loyal
C00301,62,5624.87,90.72,2023-03-10,2025-12-14,17,0,19,4.16,5624.87,New
C00302,8,640.37,80.05,2025-06-23,2025-12-06,25,1,4,4.00,640.37,Regular
C00303,86,7750.07,90.12,2024-05-18,2025-12-26,5,3,36,4.17,7750.07,Loyal
C00304,4,313.86,78.47,2025-08-08,2025-11-26,35,0,2,4.50,313.86,Loyal
C00305,18,1400.94,77.83,2024-11-07,2025-12-21,10,0,6,4.00,1400.94,New
C00306,8,766.32,95.79,2024-11-21,2025-12-31,0,0,4,4.00,766.32,Regular
C00307,0,0.00,0.00,,,,0,0,,0.00,VIP
C00308,3,141.77,47.26,2025-06-22,2025-12-20,11,0,1,4.00,141.77,New
C00309,20,1568.47,78.42,2024-07-04,2025-12-25,6,0,6,4.17,1568.47,Regular
C00310,30,2353.93,78.46,2024-04-09,2025-12-22,9,2,11,4.09,2353.93,Regular
C00311,6,392.04,65.34,2024-12-22,2025-11-26,35,0,1,3.00,392.04,Regular
C00312,0,0.00,0.00,,,,0,0,,0.00,Regular
C00313,37,3448.04,93.19,2024-04-30,2025-12-16,15,1,21,4.05,3448.04,Loyal
