date,total_sales,total_orders,units_sold,gross_sales,total_discount,avg_order_value,return_count,return_rate,avg_rating,sales_lag_7d,sales_lag_14d,sales_lag_30d,rolling_7d_sales,rolling_30d_sales,rolling_7d_orders
2023-01-31,10720.30,98,239,10746.67,212.83,109.39,5,0.0510,4.27,7538.21,6275.89,0.00,64260.49,300834.69,653
2023-02-01,7285.54,70,173,7290.47,142.81,104.08,2,0.0286,4.47,6747.28,10923.99,11522.21,64798.75,296598.02,644
2023-02-02,9904.82,91,225,9920.93,187.72,108.84,4,0.0440,4.41,9222.25,10582.66,11225.28,65481.32,295277.56,648
2023-02-03,8981.24,85,201,8944.45,161.64,105.66,8,0.0941,4.23,11418.94,8682.72,11981.52,63043.62,292277.28,610
2023-02-04,7962.20,87,185,7902.86,155.83,91.52,8,0.0920,4.33,11628.07,14311.65,11211.73,59377.75,289027.75,577
2023-02-05,8215.22,85,190,8141.26,152.20,96.65,3,0.0353,4.29,5835.14,8758.99,14877.91,61757.83,282365.06,601
2023-02-06,8291.21,92,202,8243.96,164.95,90.12,7,0.0761,4.36,8688.51,7901.26,15232.09,61360.53,275424.18,608
2023-02-07,8794.43,90,198,8728.59,130.47,97.72,2,0.0222,4.32,10720.30,7538.21,9907.09,59434.66,274311.52,600
2023-02-08,9328.78,94,205,9310.32,172.02,99.24,6,0.0638,4.32,7285.54,6747.28,9250.53,61477.90,274389.77,624
2023-02-09,9809.46,99,230,9742.59,183.06,99.09,7,0.0707,4.31,9904.82,9222.25,9864.56,61382.54,274334.67,632
2023-02-10,16448.81,170,384,17651.71,1572.76,96.76,6,0.0353,4.37,8981.24,11418.94,8137.15,68850.11,282646.33,717
2023-02-11,13047.48,140,314,14019.10,1331.62,93.20,5,0.0357,4.24,7962.20,11628.07,10670.69,73935.39,285023.12,770
2023-02-12,9640.90,102,225,10303.26,935.11,94.52,4,0.0392,4.18,8215.22,5835.14,12069.99,75361.07,282594.03,787
2023-02-13,7575.48,91,190,8105.51,748.18,83.25,2,0.0220,4.21,8291.21,8688.51,9955.62,74645.34,280213.89,786
2023-02-14,10514.22,114,257,11244.93,984.61,92.23,5,0.0439,4.39,8794.43,10720.30,7056.36,76365.13,283671.75,810
2023-02-15,8485.34,86,196,8435.85,185.56,98.67,3,0.0349,4.24,9328.78,7285.54,8636.10,75521.69,283520.99,802
2023-02-16,8103.26,80,192,8096.40,185.55,101.29,6,0.0750,4.14,9809.46,9904.82,6275.89,73815.49,285348.36,783
2023-02-17,8455.08,84,190,8387.64,153.68,100.66,7,0.0833,4.15,16448.81,8981.24,10923.99,65821.76,282879.45,697
2023-02-18,12279.22,116,269,12322.98,262.93,105.86,7,0.0603,4.42,13047.48,7962.20,10582.66,65053.50,284576.01,673
2023-02-19,7174.35,74,170,7135.89,137.00,96.95,8,0.1081,4.42,9640.90,8215.22,8682.72,62586.95,283067.64,645
2023-02-20,5267.66,52,124,5293.94,132.45,101.30,8,0.1538,4.38,7575.48,8291.21,14311.65,60279.13,274023.65,606
2023-02-21,7434.28,75,177,7443.96,160.38,99.12,3,0.0400,4.40,10514.22,8794.43,8758.99,57199.19,272698.94,567
2023-02-22,8378.86,91,191,8313.78,152.12,92.08,11,0.1209,4.15,8485.34,9328.78,7901.26,57092.71,273176.54,572
2023-02-23,8285.21,83,192,8312.37,184.83,99.82,7,0.0843,4.29,8103.26,9809.46,7538.21,57274.66,273923.54,575
2023-02-24,10167.47,107,239,10105.85,163.42,95.02,9,0.0841,4.15,8455.08,16448.81,6747.28,58987.05,277343.73,598
2023-02-25,6934.89,72,156,6920.54,153.27,96.32,8,0.1111,4.35,12279.22,13047.48,9222.25,53642.72,275056.37,554
2023-02-26,9048.49,89,208,9049.62,169.76,101.67,5,0.0562,4.17,7174.35,9640.90,11418.94,55516.86,272685.92,569
2023-02-27,5670.40,67,144,5627.35,115.66,84.63,6,0.0896,4.32,5267.66,7575.48,11628.07,55919.60,266728.25,584
2023-02-28,8447.18,93,200,8409.91,196.91,90.83,7,0.0753,4.17,7434.28,10514.22,5835.14,56932.50,269340.29,602
2023-03-01,9732.45,96,218,9741.17,203.14,101.38,6,0.0625,4.33,8378.86,8485.34,8688.51,58286.09,270384.23,607
2023-03-02,10903.55,103,232,10903.02,182.88,105.86,6,0.0583,4.09,8285.21,8103.26,10720.30,60904.43,270567.48,627
2023-03-03,7667.86,77,170,7636.38,153.98,99.58,8,0.1039,4.21,10167.47,8455.08,7285.54,58404.82,270949.80,597
2023-03-04,10723.25,110,242,10692.40,190.30,97.48,4,0.0364,4.37,6934.89,12279.22,9904.82,62193.18,271768.23,635
2023-03-05,7670.57,69,170,7665.79,127.19,111.17,5,0.0725,4.31,9048.49,7174.35,8981.24,60815.26,270457.56,615
2023-03-06,6729.59,67,154,6699.06,114.27,100.44,7,0.1045,4.32,5670.40,5267.66,7962.20,61874.45,269224.95,615
2023-03-07,6473.87,74,153,6449.34,168.89,87.48,6,0.0811,4.21,8447.18,7434.28,8215.22,59901.14,267483.60,596
2023-03-08,8890.46,88,203,8829.70,179.31,101.03,6,0.0682,4.45,9732.45,8378.86,8291.21,59059.15,268082.85,588
2023-03-09,9338.59,92,209,9266.92,154.50,101.51,2,0.0217,4.24,10903.55,8285.21,8794.43,57494.19,268627.01,577
2023-03-10,9864.87,110,236,9719.84,174.26,89.68,2,0.0182,4.38,7667.86,10167.47,9328.78,59691.20,269163.10,610
2023-03-11,10852.46,113,255,10806.79,207.25,96.04,5,0.0442,4.19,10723.25,6934.89,9809.46,59820.41,270206.10,613
2023-03-12,8724.65,80,191,8723.21,183.02,109.06,11,0.1375,4.23,7670.57,9048.49,16448.81,60874.49,262481.94,624
2023-03-13,10875.36,93,244,10914.16,192.46,116.94,5,0.0538,4.37,6729.59,5670.40,13047.48,65020.26,260309.82,650
2023-03-14,7061.92,75,171,7065.05,156.91,94.16,3,0.0400,4.19,6473.87,8447.18,9640.90,65608.31,257730.84,651
2023-03-15,9040.00,91,219,9036.07,185.49,99.34,3,0.0330,3.97,8890.46,9732.45,7575.48,65757.85,259195.36,654
2023-03-16,9554.58,97,216,9569.72,200.60,98.50,4,0.0412,4.34,9338.59,10903.55,10514.22,65973.84,258235.72,659
2023-03-17,11361.57,102,249,11386.26,205.21,111.39,7,0.0686,4.07,9864.87,7667.86,8485.34,67470.54,261111.95,651
2023-03-18,8140.77,87,180,8109.95,175.45,93.57,2,0.0230,4.26,10852.46,10723.25,8103.26,64758.85,261149.46,625
2023-03-19,8838.83,72,194,8934.79,207.04,122.76,5,0.0694,4.27,8724.65,7670.57,8455.08,64873.03,261533.21,617
2023-03-20,11899.88,117,294,12641.96,1000.88,101.71,5,0.0427,4.40,10875.36,6729.59,12279.22,65897.55,261153.87,641
2023-03-21,11675.81,113,280,12486.98,1081.92,103.33,7,0.0619,4.37,7061.92,6473.87,7174.35,70511.44,265655.33,679
2023-03-22,9691.55,110,235,10316.00,862.47,88.11,8,0.0727,4.19,9040.00,8890.46,5267.66,71162.99,270079.22,698
2023-03-23,14593.18,143,362,15730.98,1437.30,102.05,7,0.0490,4.28,9554.58,9338.59,7434.28,76201.59,277238.12,744
2023-03-24,10375.62,119,261,11024.04,973.67,87.19,4,0.0336,4.38,11361.57,9864.87,8378.86,75215.64,279234.88,761
2023-03-25,11821.95,139,286,12618.64,1145.76,85.05,4,0.0288,4.24,8140.77,10852.46,8285.21,78896.82,282771.62,813
2023-03-26,10211.41,107,250,10809.51,835.15,95.43,3,0.0280,4.09,8838.83,8724.65,10167.47,80269.40,282815.56,848
2023-03-27,6531.48,74,164,7021.07,670.09,88.26,4,0.0541,4.06,11899.88,10875.36,6934.89,74901.00,282412.15,805
2023-03-28,7528.73,78,178,7496.10,137.91,96.52,1,0.0128,4.30,11675.81,7061.92,9048.49,70753.92,280892.39,770
2023-03-29,5467.32,55,124,5463.30,114.01,99.41,4,0.0727,4.35,9691.55,9040.00,5670.40,66529.69,280689.31,715
2023-03-30,8315.09,82,188,8305.69,133.41,101.40,8,0.0976,4.40,14593.18,9554.58,8447.18,60251.60,280557.22,654
2023-03-31,10577.15,104,243,10542.46,179.56,101.70,8,0.0769,4.24,10375.62,11361.57,9732.45,60453.13,281401.92,639
2023-04-01,8446.23,82,189,8437.09,151.56,103.00,4,0.0488,4.30,11821.95,8140.77,10903.55,57077.41,278944.60,582
2023-04-02,7085.28,63,158,7105.16,163.72,112.46,5,0.0794,4.03,10211.41,8838.83,7667.86,53951.28,278362.02,538
2023-04-03,4571.60,41,103,4608.72,100.57,111.50,12,0.2927,4.22,6531.48,11899.88,10723.25,51991.40,272210.37,505
2023-04-04,8050.53,82,184,8052.60,171.62,98.18,7,0.0854,4.37,7528.73,11675.81,7670.57,52513.20,272590.33,509
2023-04-05,6052.49,54,130,6092.36,118.23,112.08,6,0.1111,4.31,5467.32,9691.55,6729.59,53098.37,271913.23,508
2023-04-06,6974.56,72,158,6981.53,156.67,96.87,8,0.1111,4.09,8315.09,14593.18,6473.87,51757.84,272413.92,498
2023-04-07,10345.80,104,231,10329.50,232.69,99.48,7,0.0673,4.51,10577.15,10375.62,8890.46,51526.49,273869.26,498
2023-04-08,10343.44,96,234,10397.72,256.62,107.74,3,0.0312,4.21,8446.23,11821.95,9338.59,53423.70,274874.11,512
2023-04-09,9440.60,83,212,9495.58,188.90,113.74,8,0.0964,4.29,7085.28,10211.41,9864.87,55779.02,274449.84,532
2023-04-10,7053.22,69,168,7017.32,122.82,102.22,9,0.1304,4.21,4571.60,6531.48,10852.46,58260.64,270650.60,560
2023-04-11,6882.53,64,163,6896.74,117.36,107.54,14,0.2188,4.30,8050.53,7528.73,8724.65,57092.64,268808.48,542
2023-04-12,8152.52,79,195,8162.77,146.07,103.20,2,0.0253,4.32,6052.49,5467.32,10875.36,59192.67,266085.64,567
2023-04-13,7452.43,73,158,7432.05,147.23,102.09,8,0.1096,4.09,6974.56,8315.09,7061.92,59670.54,266476.15,568
2023-04-14,9929.71,107,239,9839.53,177.63,92.80,4,0.0374,4.19,10345.80,10577.15,9040.00,59254.45,267365.86,571
2023-04-15,9572.71,96,210,9574.63,173.50,99.72,2,0.0208,4.22,10343.44,8446.23,9554.58,58483.72,267383.99,571
2023-04-16,5941.46,61,128,5904.96,83.51,97.40,8,0.1311,4.34,9440.60,7085.28,11361.57,54984.58,261963.88,549
2023-04-17,5334.39,63,124,5229.57,98.54,84.67,3,0.0476,4.23,7053.22,4571.60,8140.77,53265.75,259157.50,543
2023-04-18,6981.72,71,163,6958.87,122.97,98.33,6,0.0845,4.27,6882.53,8050.53,8838.83,53364.94,257300.39,550
2023-04-19,7715.74,77,188,7696.52,136.43,100.20,4,0.0519,4.25,8152.52,6052.49,11899.88,52928.16,253116.25,548
2023-04-20,7266.95,73,168,7249.74,133.53,99.55,9,0.1233,4.23,7452.43,6974.56,11675.81,52742.68,248707.39,548
2023-04-21,7829.27,72,176,7837.18,139.81,108.74,7,0.0972,4.24,9929.71,10345.80,9691.55,50642.24,246845.11,513
2023-04-22,7031.07,73,162,7001.14,154.52,96.32,4,0.0548,4.25,9572.71,10343.44,14593.18,48100.60,239283.00,490
2023-04-23,5392.33,64,127,5298.08,86.25,84.26,9,0.1406,4.34,5941.46,9440.60,10375.62,47551.47,234299.71,493
2023-04-24,4048.71,40,86,4024.35,53.99,101.22,9,0.2250,4.29,5334.39,7053.22,11821.95,46265.79,226526.47,470
2023-04-25,9202.96,94,211,9169.38,178.68,97.90,8,0.0851,4.32,6981.72,6882.53,10211.41,48487.03,225518.02,493
2023-04-26,7934.09,84,179,7917.35,161.81,94.45,6,0.0714,4.24,7715.74,8152.52,6531.48,48705.38,226920.63,500
2023-04-27,7435.65,72,182,7424.43,145.50,103.27,5,0.0694,4.29,7266.95,7452.43,7528.73,48874.08,226827.55,499
2023-04-28,6414.49,72,138,6323.21,104.13,89.09,2,0.0278,4.25,7829.27,9929.71,5467.32,47459.30,227774.72,499
2023-04-29,10237.52,108,229,10144.42,168.77,94.79,2,0.0185,4.31,7031.07,9572.71,8315.09,50665.75,229697.15,534
2023-04-30,7185.94,63,158,7201.27,131.40,114.06,4,0.0635,4.21,5392.33,5941.46,10577.15,52459.36,226305.94,533
2023-05-01,10267.67,94,229,10339.50,241.41,109.23,8,0.0851,4.24,4048.71,5334.39,8446.23,58678.32,228127.38,587
2023-05-02,8015.39,82,198,8027.78,177.02,97.75,3,0.0366,4.23,9202.96,6981.72,7085.28,57490.75,229057.49,575
2023-05-03,7441.75,76,171,7369.64,104.39,97.92,6,0.0789,4.53,7934.09,7715.74,4571.60,56998.41,231927.64,567
2023-05-04,10565.68,104,236,10480.04,187.17,101.59,5,0.0481,4.24,7435.65,7266.95,8050.53,60128.44,234442.79,599
2023-05-05,9866.46,95,234,9862.28,174.32,103.86,10,0.1053,4.19,6414.49,7829.27,6052.49,63580.41,238256.76,622
2023-05-06,9367.83,96,222,9321.35,179.58,97.58,4,0.0417,4.29,10237.52,7031.07,6974.56,62710.72,240650.03,610
2023-05-07,8133.02,77,193,8129.42,159.10,105.62,5,0.0649,4.13,7185.94,5392.33,10345.80,63657.80,238437.25,624
2023-05-08,6395.54,69,150,6333.33,114.31,92.69,5,0.0725,4.16,10267.67,4048.71,10343.44,59785.67,234489.35,599
2023-05-09,6373.89,66,148,6331.53,101.46,96.57,7,0.1061,4.23,8015.39,9202.96,9440.60,58144.17,231422.64,583
2023-05-10,9032.52,91,197,9042.70,170.84,99.26,3,0.0330,4.31,7441.75,7934.09,7053.22,59734.94,233401.94,598
2023-05-11,7679.33,80,181,7654.40,151.59,95.99,6,0.0750,4.42,10565.68,7435.65,6882.53,56848.59,234198.74,574
2023-05-12,7641.95,80,182,7621.85,164.36,95.52,4,0.0500,4.17,9866.46,6414.49,8152.52,54624.08,233688.17,559
2023-05-13,11004.40,119,255,10958.44,219.80,92.47,4,0.0336,4.15,9367.83,10237.52,7452.43,56260.65,237240.14,582
2023-05-14,7105.77,75,161,7066.65,151.29,94.74,5,0.0667,4.22,8133.02,7185.94,9929.71,55233.40,234416.20,580
2023-05-15,9408.33,89,206,9398.74,192.76,105.71,4,0.0449,4.32,6395.54,10267.67,9572.71,58246.19,234251.82,600
2023-05-16,6550.82,61,158,6517.90,102.98,107.39,5,0.0820,4.33,6373.89,8015.39,5941.46,58423.12,234861.18,595
2023-05-17,8900.13,97,214,8885.80,160.18,91.75,5,0.0515,4.25,9032.52,7441.75,5334.39,58290.73,238426.92,601
2023-05-18,7931.84,83,186,7861.09,142.46,95.56,2,0.0241,4.31,7679.33,10565.68,6981.72,58543.24,239377.04,604
2023-05-19,8297.70,80,194,8306.19,178.05,103.72,4,0.0500,4.60,7641.95,9866.46,7715.74,59198.99,239959.00,604
2023-05-20,10593.40,115,256,10567.06,220.65,92.12,5,0.0435,4.35,11004.40,9367.83,7266.95,58787.99,243285.45,600
2023-05-21,8269.47,86,186,8258.44,175.42,96.16,6,0.0698,4.28,7105.77,8133.02,7829.27,59951.69,243725.65,611
2023-05-22,7225.84,65,160,7212.00,119.06,111.17,3,0.0462,4.17,9408.33,6395.54,7031.07,57769.20,243920.42,587
2023-05-23,9077.33,94,216,9005.44,165.23,96.57,1,0.0106,4.18,6550.82,6373.89,5392.33,60295.71,247605.42,620
2023-05-24,12353.64,142,291,12556.56,620.55,87.00,4,0.0282,4.17,8900.13,9032.52,4048.71,63749.22,255910.35,665
2023-05-25,11601.14,116,267,11757.51,449.97,100.01,8,0.0690,4.30,7931.84,7679.33,9202.96,67418.52,258308.53,698
2023-05-26,15597.24,166,358,15873.32,703.52,93.96,1,0.0060,4.23,8297.70,7641.95,7934.09,74718.06,265971.68,784
2023-05-27,17153.60,177,412,17570.12,829.01,96.91,2,0.0113,4.08,10593.40,11004.40,7435.65,81278.26,275689.63,846
2023-05-28,11421.96,125,284,11741.81,595.64,91.38,7,0.0560,4.23,8269.47,7105.77,6414.49,84430.75,280697.10,885
2023-05-29,11602.46,112,289,11981.19,613.80,103.59,2,0.0179,4.07,7225.84,9408.33,10237.52,88807.37,282062.04,932
2023-05-30,8908.19,92,202,9090.18,410.06,96.83,3,0.0326,4.49,9077.33,6550.82,7185.94,88638.23,283784.29,930
2023-05-31,14957.81,160,356,15271.31,704.24,93.49,5,0.0312,4.35,12353.64,8900.13,10267.67,91242.40,288474.43,948
2023-06-01,10475.06,121,251,10401.78,214.30,86.57,3,0.0248,4.24,11601.14,7931.84,8015.39,90116.32,290934.10,953
2023-06-02,12048.95,115,275,11970.91,202.59,104.77,3,0.0261,4.34,15597.24,8297.70,7441.75,86568.03,295541.30,902
2023-06-03,11303.20,117,265,11256.50,207.21,96.61,7,0.0598,4.35,17153.60,10593.40,10565.68,80717.63,296278.82,842
2023-06-04,7337.17,82,168,7258.22,115.40,89.48,4,0.0488,4.39,11421.96,8269.47,9866.46,76632.84,293749.53,799
2023-06-05,7982.17,76,189,7978.94,166.34,105.03,6,0.0789,4.31,11602.46,7225.84,9367.83,73012.55,292363.87,763
2023-06-06,10289.61,100,251,10290.21,210.83,102.90,5,0.0500,4.22,8908.19,9077.33,8133.02,74393.97,294520.46,771
2023-06-07,7575.56,78,177,7521.98,116.04,97.12,2,0.0256,4.40,14957.81,12353.64,6395.54,67011.72,295700.48,689
2023-06-08,7854.07,82,191,7856.74,158.40,95.78,5,0.0610,4.32,10475.06,11601.14,6373.89,64390.73,297180.66,650
2023-06-09,9931.57,113,227,9838.86,194.89,87.89,6,0.0531,4.18,12048.95,15597.24,9032.52,62273.35,298079.71,648
2023-06-10,12223.67,122,284,12215.35,282.20,100.19,3,0.0246,4.33,11303.20,17153.60,7679.33,63193.82,302624.05,653
2023-06-11,8922.25,87,208,8882.03,160.14,102.55,5,0.0575,4.33,7337.17,11421.96,7641.95,64778.90,303904.35,658
2023-06-12,8229.91,86,186,8188.27,158.67,95.70,4,0.0465,4.17,7982.17,11602.46,11004.40,65026.64,301129.86,668
2023-06-13,8924.48,97,211,8835.75,210.73,92.00,8,0.0825,4.38,10289.61,8908.19,7105.77,63661.51,302948.57,665
2023-06-14,7774.03,84,183,7727.96,146.31,92.55,8,0.0952,4.20,7575.56,14957.81,9408.33,63859.98,301314.27,671
2023-06-15,10293.53,127,258,10943.33,995.82,81.05,11,0.0866,4.33,7854.07,10475.06,6550.82,66299.44,305056.98,716
2023-06-16,15844.34,175,399,17049.38,1664.24,90.54,3,0.0171,4.42,9931.57,12048.95,8900.13,72212.21,312001.19,778
2023-06-17,15947.07,178,402,17040.80,1581.63,89.59,9,0.0506,4.26,12223.67,11303.20,7931.84,75935.61,320016.42,834
2023-06-18,11455.82,133,282,12202.54,1122.56,86.13,11,0.0827,4.12,8922.25,7337.17,8297.70,78469.18,323174.54,880
2023-06-19,13255.52,144,339,14267.07,1333.79,92.05,4,0.0278,4.21,8229.91,7982.17,10593.40,83494.79,325836.66,938
2023-06-20,11609.21,126,300,12416.78,1122.97,92.14,6,0.0476,4.38,8924.48,10289.61,8269.47,86179.52,329176.40,967
2023-06-21,13426.99,155,332,14326.37,1332.73,86.63,6,0.0387,4.03,7774.03,7575.56,7225.84,91832.48,335377.55,1038
2023-06-22,13325.52,144,338,14341.04,1400.31,92.54,7,0.0486,4.08,10293.53,7854.07,9077.33,94864.47,339625.74,1055
2023-06-23,12612.39,148,335,13590.82,1374.14,85.22,6,0.0405,4.31,15844.34,9931.57,12353.64,91632.52,339884.49,1028
2023-06-24,13014.92,158,345,14037.14,1478.34,82.37,3,0.0190,4.28,15947.07,12223.67,11601.14,88700.37,341298.27,1008
2023-06-25,9377.58,112,240,10012.85,969.43,83.73,6,0.0536,4.30,11455.82,8922.25,15597.24,86622.13,335078.61,987
2023-06-26,11754.95,121,290,12603.80,1138.36,97.15,5,0.0413,4.23,13255.52,8229.91,17153.60,85121.56,329679.96,964
2023-06-27,13689.27,155,338,14609.22,1315.57,88.32,10,0.0645,4.20,11609.21,8924.48,11421.96,87201.62,331947.27,993
2023-06-28,14526.26,161,357,15598.00,1432.68,90.23,5,0.0311,4.24,13426.99,7774.03,11602.46,88300.89,334871.07,999
2023-06-29,17449.63,182,438,18733.69,1662.76,95.88,9,0.0495,4.20,13325.52,10293.53,8908.19,92425.00,343412.51,1037
2023-06-30,11880.40,138,296,12819.86,1341.15,86.09,6,0.0435,4.44,12612.39,15844.34,14957.81,91693.01,340335.10,1027
2023-07-01,15073.05,164,377,16444.59,1777.19,91.91,9,0.0549,4.13,13014.92,15947.07,10475.06,93751.14,344933.09,1033
2023-07-02,12496.48,139,314,13401.63,1254.20,89.90,4,0.0288,4.37,9377.58,11455.82,12048.95,96870.04,345380.62,1060
2023-07-03,13837.33,144,356,14973.04,1457.04,96.09,15,0.1042,4.02,11754.95,13255.52,11303.20,98952.42,347914.75,1083
2023-07-04,10746.69,109,252,11521.54,999.97,98.59,3,0.0275,4.14,13689.27,11609.21,7337.17,96009.84,351324.27,1037
2023-07-05,14345.99,159,352,15461.74,1500.44,90.23,8,0.0503,4.29,14526.26,13426.99,7982.17,95829.57,357688.09,1035
2023-07-06,14572.30,152,352,15734.45,1537.01,95.87,7,0.0461,4.18,17449.63,13325.52,10289.61,92952.24,361970.78,1005
2023-07-07,18890.34,195,465,20390.66,1971.48,96.87,7,0.0359,4.21,11880.40,12612.39,7575.56,99962.18,373285.56,1062
2023-07-08,15776.68,184,400,17075.81,1810.76,85.74,8,0.0435,4.20,15073.05,13014.92,7854.07,100665.81,381208.17,1082
2023-07-09,6295.20,64,145,6272.52,133.99,98.36,8,0.1250,4.25,12496.48,9377.58,9931.57,94464.53,377571.80,1007
2023-07-10,8156.90,89,199,8110.23,151.76,91.65,9,0.1011,4.19,13837.33,11754.95,12223.67,88784.10,373505.03,952
2023-07-11,7221.61,85,180,7131.28,157.64,84.96,9,0.1059,4.28,10746.69,13689.27,8922.25,85259.02,371804.39,928
2023-07-12,7849.15,84,185,7803.00,132.36,93.44,6,0.0714,4.35,14345.99,14526.26,8229.91,78762.18,371423.63,853
2023-07-13,7235.00,74,174,7218.50,130.26,97.77,7,0.0946,4.40,14572.30,17449.63,8924.48,71424.88,369734.15,775
2023-07-14,11361.29,119,264,11329.31,227.85,95.47,10,0.0840,4.31,18890.34,11880.40,7774.03,63895.83,373321.41,699
2023-07-15,15662.03,152,354,15625.51,316.51,103.04,6,0.0395,4.25,15776.68,15073.05,10293.53,63781.18,378689.91,667
2023-07-16,6840.53,69,167,6804.92,132.04,99.14,7,0.1014,4.24,6295.20,12496.48,15844.34,64326.51,369686.10,672
2023-07-17,7065.57,67,159,7082.12,165.27,105.46,8,0.1194,4.33,8156.90,13837.33,15947.07,63235.18,360804.60,650
2023-07-18,6613.85,71,152,6524.83,119.26,93.15,10,0.1408,4.21,7221.61,10746.69,11455.82,62627.42,355962.63,636
2023-07-19,7015.48,71,168,7014.20,150.48,98.81,4,0.0563,4.23,7849.15,14345.99,13255.52,61793.75,349722.59,623
2023-07-20,10327.25,112,235,10253.04,217.39,92.21,12,0.1071,4.24,7235.00,14572.30,11609.21,64886.00,348440.63,661
2023-07-21,10481.82,102,227,10491.50,216.94,102.76,14,0.1373,4.15,11361.29,18890.34,13426.99,64006.53,345495.46,644
2023-07-22,8019.64,87,189,7966.91,129.73,92.18,8,0.0920,4.22,15662.03,15776.68,13325.52,56364.14,340189.58,579
2023-07-23,7719.01,83,178,7662.20,146.44,93.00,6,0.0723,4.25,6840.53,6295.20,12612.39,57242.62,335296.20,593
2023-07-24,4744.92,50,117,4696.12,68.16,94.90,8,0.1600,4.27,7065.57,8156.90,13014.92,54921.97,327026.20,576
2023-07-25,7833.02,81,181,7720.23,123.33,96.70,11,0.1358,4.30,6613.85,7221.61,9377.58,56141.14,325481.64,586
