return_id,order_id,product_id,return_date,return_reason
R0000049,O0000775,P0258,2023-01-29,damaged item
R0000050,O0000782,P0285,2023-01-19,allergic reaction
R0000051,O0000787,P0226,2023-01-24,changed mind
R0000052,O0000805,P0258,2023-02-05,wrong product
R0000053,O0000840,P0125,2023-01-27,changed mind
R0000054,O0000843,P0027,2023-02-03,late delivery
R0000055,O0000844,P0125,2023-01-28,damaged item
R0000056,O0000897,P0125,2023-01-23,wrong product
R0000057,O0000905,P0124,2023-02-03,allergic reaction
R0000058,O0000938,P0274,2023-02-19,wrong product
R0000059,O0000944,P0258,2023-01-22,changed mind
R0000060,O0000953,P0027,2023-02-07,changed mind
R0000061,O0000964,P0258,2023-01-20,late delivery
R0000062,O0000982,P0125,2023-01-25,late delivery
R0000063,O0001007,P0226,2023-02-12,damaged item
R0000064,O0001026,P0258,2023-02-11,changed mind
R0000065,O0001075,P0078,2023-01-22,late delivery
R0000066,O0001075,P0274,2023-02-09,damaged item
R0000067,O0001079,P0027,2023-01-27,changed mind
R0000068,O0001089,P0262,2023-01-27,damaged item
R0000069,O0001090,P0240,2023-01-31,wrong product
R0000070,O0001101,P0274,2023-02-05,allergic reaction
R0000071,O0001110,P0258,2023-02-14,allergic reaction
R0000072,O0001114,P0047,2023-02-01,wrong product
R0000073,O0001116,P0160,2023-01-19,damaged item
R0000074,O0001134,P0027,2023-02-02,damaged item
R0000075,O0001146,P0258,2023-02-09,changed mind
R0000076,O0001208,P0258,2023-02-14,damaged item
R0000077,O0001237,P0027,2023-01-29,damaged item
R0000078,O0001262,P0161,2023-02-03,changed mind
R0000079,O0001270,P0226,2023-02-16,allergic reaction
R0000080,O0001279,P0002,2023-02-20,changed mind
R0000081,O0001296,P0246,2023-01-21,allergic reaction
R0000082,O0001375,P0285,2023-01-22,changed mind
R0000083,O0001399,P0012,2023-02-17,changed mind
R0000084,O0001427,P0027,2023-02-19,changed mind
R0000085,O0001433,P0023,2023-01-29,changed mind
R0000086,O0001451,P0257,2023-01-22,late delivery
R0000087,O0001471,P0039,2023-02-14,changed mind
R0000088,O0001524,P0012,2023-01-25,changed mind
R0000089,O0001531,P0227,2023-01-24,changed mind
R0000090,O0001550,P0226,2023-02-12,wrong product
R0000091,O0001593,P0243,2023-02-11,wrong product
R0000092,O0001610,P0082,2023-02-19,allergic reaction
R0000093,O0001615,P0125,2023-02-09,changed mind
R0000094,O0001697,P0141,2023-01-24,late delivery
R0000095,O0001710,P0125,2023-01-29,damaged item
R0000096,O0001727,P0027,2023-02-06,changed mind
R0000097,O0001761,P0125,2023-02-08,changed mind
R0000098,O0001766,P0027,2023-02-08,changed mind
R0000099,O0001801,P0003,2023-02-19,allergic reaction
R0000100,O0001814,P0144,2023-02-03,changed mind
R0000101,O0001832,P0230,2023-02-23,damaged item
R0000102,O0001888,P0027,2023-02-09,allergic reaction
R0000103,O0001918,P0082,2023-01-23,changed mind
R0000104,O0001930,P0274,2023-02-23,damaged item
R0000105,O0001946,P0287,2023-02-15,allergic reaction
R0000106,O0001965,P0064,2023-02-24,allergic reaction
R0000107,O0001972,P0232,2023-02-03,changed mind
R0000108,O0001979,P0064,2023-02-04,late delivery
R0000109,O0001982,P0002,2023-01-30,changed mind
R0000110,O0002018,P0125,2023-01-28,late delivery
R0000111,O0002079,P0064,2023-02-18,allergic reaction
R0000112,O0002079,P0089,2023-02-06,changed mind
R0000113,O0002098,P0274,2023-02-28,late delivery
R0000114,O0002121,P0055,2023-02-23,changed mind
R0000115,O0002164,P0125,2023-02-02,damaged item
R0000116,O0002174,P0287,2023-02-08,changed mind
R0000117,O0002189,P0121,2023-02-22,wrong product
R0000118,O0002238,P0285,2023-02-22,changed mind
R0000119,O0002249,P0125,2023-02-21,allergic reaction
R0000120,O0002339,P0285,2023-02-03,changed mind
R0000121,O0002341,P0095,2023-02-11,allergic reaction
R0000122,O0002346,P0055,2023-03-02,wrong product
R0000123,O0002361,P0020,2023-02-16,damaged item
R0000124,O0002391,P0027,2023-02-23,damaged item
R0000125,O0002398,P0173,2023-02-11,late delivery
R0000126,O0002406,P0274,2023-02-04,allergic reaction
R0000127,O0002417,P0252,2023-02-26,allergic reaction
R0000128,O0002432,P0285,2023-03-05,changed mind
R0000129,O0002441,P0287,2023-03-01,late delivery
R0000130,O0002449,P0020,2023-02-09,wrong product
R0000131,O0002462,P0258,2023-03-03,wrong product
R0000132,O0002472,P0020,2023-02-04,allergic reaction
R0000133,O0002488,P0027,2023-03-01,changed mind
R0000134,O0002489,P0226,2023-03-05,late delivery
R0000135,O0002504,P0257,2023-02-15,changed mind
R0000136,O0002507,P0226,2023-02-06,late delivery
R0000137,O0002515,P0055,2023-02-03,late delivery
R0000138,O0002534,P0258,2023-02-04,changed mind
R0000139,O0002550,P0020,2023-02-20,allergic reaction
R0000140,O0002578,P0243,2023-02-11,damaged item
R0000141,O0002579,P0003,2023-02-18,changed mind
R0000142,O0002600,P0125,2023-02-26,late delivery
R0000143,O0002615,P0274,2023-02-20,damaged item
R0000144,O0002622,P0003,2023-02-04,changed mind
R0000145,O0002624,P0226,2023-02-17,changed mind
R0000146,O0002637,P0233,2023-02-15,changed mind
R0000147,O0002647,P0252,2023-01-31,changed mind
R0000148,O0002681,P0226,2023-02-13,damaged item
R0000149,O0002684,P0150,2023-02-17,changed mind
R0000150,O0002703,P0082,2023-02-14,late delivery
R0000151,O0002705,P0121,2023-02-05,changed mind
R0000152,O0002732,P0125,2023-03-06,allergic reaction
R0000153,O0002739,P0252,2023-02-18,wrong product
R0000154,O0002745,P0258,2023-02-08,damaged item
R0000155,O0002754,P0048,2023-02-12,damaged item
R0000156,O0002762,P0027,2023-03-07,damaged item
R0000157,O0002777,P0243,2023-03-02,damaged item
R0000158,O0002787,P0003,2023-02-09,changed mind
R0000159,O0002811,P0125,2023-02-04,allergic reaction
R0000160,O0002826,P0132,2023-02-25,changed mind
R0000161,O0002834,P0287,2023-02-01,wrong product
R0000162,O0002843,P0082,2023-03-01,changed mind
R0000163,O0002849,P0141,2023-02-18,changed mind
R0000164,O0002857,P0161,2023-03-01,changed mind
R0000165,O0002868,P0064,2023-02-12,changed mind
R0000166,O0002878,P0054,2023-03-08,changed mind
R0000167,O0002911,P0132,2023-03-03,changed mind
R0000168,O0002981,P0150,2023-02-07,wrong product
R0000169,O0002989,P0082,2023-03-02,changed mind
R0000170,O0003040,P0274,2023-03-07,wrong product
R0000171,O0003048,P0001,2023-02-25,changed mind
R0000172,O0003059,P0144,2023-02-08,changed mind
R0000173,O0003063,P0054,2023-03-06,changed mind
R0000174,O0003120,P0258,2023-02-28,damaged item
R0000175,O0003126,P0003,2023-03-04,wrong product
R0000176,O0003133,P0274,2023-02-22,changed mind
R0000177,O0003147,P0125,2023-03-02,changed mind
R0000178,O0003179,P0211,2023-03-06,late delivery
R0000179,O0003204,P0285,2023-02-06,allergic reaction
R0000180,O0003208,P0052,2023-03-05,allergic reaction
R0000181,O0003239,P0210,2023-02-23,allergic reaction
R0000182,O0003284,P0292,2023-03-02,damaged item
R0000183,O0003286,P0020,2023-02-21,wrong product
R0000184,O0003291,P0125,2023-03-04,allergic reaction
R0000185,O0003305,P0003,2023-02-06,allergic reaction
R0000186,O0003307,P0287,2023-02-20,changed mind
R0000187,O0003325,P0227,2023-02-25,allergic reaction
R0000188,O0003338,P0125,2023-02-10,damaged item
R0000189,O0003366,P0082,2023-03-13,changed mind
R0000190,O0003406,P0125,2023-02-25,wrong product
R0000191,O0003441,P0274,2023-02-16,changed mind
R0000192,O0003466,P0082,2023-03-07,changed mind
R0000193,O0003501,P0082,2023-02-28,allergic reaction
R0000194,O0003510,P0232,2023-02-22,changed mind
R0000195,O0003525,P0027,2023-03-14,allergic reaction
R0000196,O0003541,P0082,2023-03-07,changed mind
R0000197,O0003542,P0107,2023-02-22,damaged item
R0000198,O0003550,P0269,2023-02-10,allergic reaction
R0000199,O0003551,P0072,2023-03-12,late delivery
R0000200,O0003560,P0287,2023-02-17,damaged item
R0000201,O0003581,P0274,2023-02-24,changed mind
R0000202,O0003604,P0055,2023-02-22,late delivery
R0000203,O0003618,P0138,2023-02-24,changed mind
R0000204,O0003663,P0258,2023-02-23,changed mind
R0000205,O0003666,P0054,2023-02-27,late delivery
R0000206,O0003669,P0125,2023-02-16,late delivery
R0000207,O0003676,P0258,2023-02-19,changed mind
R0000208,O0003680,P0006,2023-03-12,changed mind
R0000209,O0003687,P0121,2023-02-27,late delivery
R0000210,O0003698,P0163,2023-03-03,late delivery
R0000211,O0003705,P0252,2023-02-20,changed mind
R0000212,O0003769,P0020,2023-02-19,changed mind
R0000213,O0003774,P0002,2023-02-27,changed mind
R0000214,O0003778,P0055,2023-02-17,allergic reaction
R0000215,O0003780,P0020,2023-03-20,damaged item
R0000216,O0003784,P0258,2023-02-28,wrong product
R0000217,O0003819,P0274,2023-02-27,damaged item
R0000218,O0003826,P0274,2023-02-18,allergic reaction
R0000219,O0003832,P0027,2023-03-12,late delivery
R0000220,O0003837,P0035,2023-02-22,wrong product
R0000221,O0003863,P0124,2023-03-01,damaged item
R0000222,O0003891,P0095,2023-03-08,late delivery
R0000223,O0003902,P0012,2023-03-12,late delivery
R0000224,O0003911,P0227,2023-03-11,wrong product
R0000225,O0003923,P0124,2023-02-24,changed mind
R0000226,O0003926,P0258,2023-02-22,wrong product
R0000227,O0003946,P0258,2023-02-18,damaged item
R0000228,O0003954,P0258,2023-03-08,changed mind
R0000229,O0003988,P0052,2023-02-27,late delivery
R0000230,O0004002,P0125,2023-03-11,changed mind
R0000231,O0004012,P0132,2023-03-04,changed mind
R0000232,O0004038,P0055,2023-03-13,changed mind
R0000233,O0004100,P0125,2023-02-27,changed mind
R0000234,O0004109,P0274,2023-02-19,allergic reaction
R0000235,O0004114,P0230,2023-03-11,changed mind
R0000236,O0004127,P0012,2023-02-20,damaged item
R0000237,O0004138,P0258,2023-03-20,damaged item
R0000238,O0004140,P0240,2023-02-17,allergic reaction
R0000239,O0004142,P0012,2023-02-23,allergic reaction
R0000240,O0004146,P0274,2023-02-20,late delivery
R0000241,O0004150,P0248,2023-02-19,late delivery
R0000242,O0004195,P0020,2023-03-12,changed mind
R0000243,O0004202,P0252,2023-03-03,damaged item
R0000244,O0004208,P0027,2023-03-05,changed mind
R0000245,O0004211,P0258,2023-02-24,allergic reaction
R0000246,O0004226,P0036,2023-02-25,changed mind
R0000247,O0004244,P0252,2023-02-17,allergic reaction
R0000248,O0004335,P0274,2023-02-18,allergic reaction
R0000249,O0004383,P0012,2023-03-16,changed mind
R0000250,O0004392,P0055,2023-03-17,damaged item
R0000251,O0004480,P0285,2023-03-23,changed mind
R0000252,O0004491,P0287,2023-02-21,changed mind
R0000253,O0004507,P0258,2023-02-20,late delivery
R0000254,O0004557,P0258,2023-02-22,allergic reaction
R0000255,O0004569,P0038,2023-03-05,damaged item
R0000256,O0004578,P0038,2023-03-21,changed mind
R0000257,O0004584,P0125,2023-02-24,wrong product
R0000258,O0004604,P0082,2023-03-19,allergic reaction
R0000259,O0004609,P0287,2023-03-18,wrong product
R0000260,O0004616,P0121,2023-02-25,late delivery
R0000261,O0004626,P0086,2023-03-06,wrong product
R0000262,O0004658,P0252,2023-03-03,late delivery
R0000263,O0004660,P0027,2023-03-01,changed mind
R0000264,O0004683,P0226,2023-02-22,changed mind
R0000265,O0004685,P0125,2023-03-18,late delivery
R0000266,O0004688,P0020,2023-03-21,changed mind
R0000267,O0004710,P0082,2023-02-28,allergic reaction
R0000268,O0004750,P0252,2023-02-22,late delivery
R0000269,O0004761,P0243,2023-02-26,damaged item
R0000270,O0004800,P0121,2023-03-10,damaged item
R0000271,O0004826,P0258,2023-03-22,changed mind
R0000272,O0004836,P0227,2023-02-24,damaged item
R0000273,O0004843,P0274,2023-03-24,late delivery
R0000274,O0004883,P0252,2023-02-28,changed mind
R0000275,O0004895,P0055,2023-03-08,late delivery
R0000276,O0004896,P0258,2023-02-25,damaged item
R0000277,O0004907,P0227,2023-03-22,late delivery
R0000278,O0004908,P0294,2023-03-03,damaged item
R0000279,O0004921,P0285,2023-03-10,allergic reaction
R0000280,O0004955,P0006,2023-03-12,allergic reaction
R0000281,O0004965,P0226,2023-03-14,allergic reaction
R0000282,O0004967,P0285,2023-03-17,allergic reaction
R0000283,O0004986,P0020,2023-03-08,changed mind
R0000284,O0004998,P0274,2023-03-12,changed mind
R0000285,O0005030,P0038,2023-03-13,late delivery
R0000286,O0005049,P0055,2023-03-30,allergic reaction
R0000287,O0005051,P0285,2023-03-07,damaged item
R0000288,O0005081,P0027,2023-02-24,late delivery
R0000289,O0005106,P0020,2023-02-26,wrong product
R0000290,O0005111,P0258,2023-03-09,changed mind
R0000291,O0005158,P0230,2023-02-24,damaged item
R0000292,O0005174,P0246,2023-03-17,late delivery
R0000293,O0005197,P0038,2023-03-20,allergic reaction
R0000294,O0005208,P0144,2023-03-23,changed mind
R0000295,O0005228,P0137,2023-03-24,changed mind
R0000296,O0005231,P0082,2023-04-03,wrong product
R0000297,O0005252,P0144,2023-03-06,wrong product
R0000298,O0005254,P0252,2023-03-06,wrong product
R0000299,O0005255,P0258,2023-02-26,damaged item
R0000300,O0005256,P0285,2023-03-04,changed mind
R0000301,O0005297,P0258,2023-02-25,changed mind
R0000302,O0005297,P0027,2023-03-21,changed mind
R0000303,O0005301,P0038,2023-03-03,changed mind
R0000304,O0005309,P0027,2023-03-16,changed mind
R0000305,O0005318,P0252,2023-03-13,wrong product
R0000306,O0005330,P0274,2023-03-08,allergic reaction
R0000307,O0005335,P0232,2023-02-28,wrong product
R0000308,O0005338,P0038,2023-03-11,wrong product
R0000309,O0005343,P0001,2023-03-29,late delivery
R0000310,O0005361,P0027,2023-03-06,allergic reaction
R0000311,O0005379,P0003,2023-04-04,wrong product
R0000312,O0005380,P0287,2023-03-21,allergic reaction
R0000313,O0005388,P0226,2023-03-07,damaged item
R0000314,O0005406,P0240,2023-03-15,changed mind
R0000315,O0005423,P0125,2023-03-03,changed mind
R0000316,O0005486,P0064,2023-04-02,changed mind
R0000317,O0005495,P0274,2023-03-02,changed mind
R0000318,O0005500,P0020,2023-03-14,allergic reaction
R0000319,O0005530,P0121,2023-03-17,changed mind
R0000320,O0005544,P0055,2023-03-15,wrong product
R0000321,O0005568,P0257,2023-03-20,changed mind
R0000322,O0005639,P0258,2023-03-12,wrong product
R0000323,O0005641,P0251,2023-03-09,allergic reaction
R0000324,O0005688,P0064,2023-03-22,damaged item
R0000325,O0005774,P0003,2023-03-22,changed mind
R0000326,O0005800,P0233,2023-04-01,late delivery
R0000327,O0005825,P0055,2023-03-19,late delivery
R0000328,O0005833,P0027,2023-03-29,allergic reaction
R0000329,O0005854,P0226,2023-03-17,wrong product
R0000330,O0005873,P0085,2023-03-11,changed mind
R0000331,O0005879,P0160,2023-03-25,damaged item
R0000332,O0005881,P0039,2023-03-12,damaged item
R0000333,O0005911,P0227,2023-03-31,wrong product
R0000334,O0005942,P0054,2023-03-19,late delivery
R0000335,O0005951,P0121,2023-03-22,damaged item
R0000336,O0006036,P0127,2023-03-26,damaged item
R0000337,O0006055,P0227,2023-03-30,late delivery
R0000338,O0006060,P0125,2023-03-31,allergic reaction
R0000339,O0006085,P0274,2023-03-30,late delivery
R0000340,O0006112,P0258,2023-03-13,damaged item
R0000341,O0006136,P0121,2023-03-27,changed mind
R0000342,O0006150,P0252,2023-03-23,changed mind
R0000343,O0006160,P0020,2023-03-26,damaged item
R0000344,O0006161,P0039,2023-03-22,damaged item
R0000345,O0006181,P0125,2023-04-10,late delivery
R0000346,O0006191,P0230,2023-03-12,changed mind
R0000347,O0006212,P0258,2023-03-17,late delivery
R0000348,O0006218,P0269,2023-04-13,late delivery
R0000349,O0006275,P0020,2023-04-04,late delivery
R0000350,O0006306,P0258,2023-04-03,damaged item
R0000351,O0006322,P0104,2023-04-05,changed mind
R0000352,O0006339,P0252,2023-04-06,late delivery
R0000353,O0006341,P0027,2023-04-07,wrong product
R0000354,O0006357,P0233,2023-04-01,wrong product
R0000355,O0006366,P0121,2023-04-08,allergic reaction
R0000356,O0006385,P0240,2023-03-15,changed mind
R0000357,O0006386,P0226,2023-04-10,changed mind
R0000358,O0006396,P0274,2023-03-29,changed mind
R0000359,O0006408,P0258,2023-04-04,allergic reaction
R0000360,O0006442,P0027,2023-04-15,changed mind
R0000361,O0006476,P0125,2023-03-25,wrong product
R0000362,O0006520,P0107,2023-04-11,allergic reaction
R0000363,O0006525,P0240,2023-04-03,changed mind
R0000364,O0006527,P0003,2023-04-11,changed mind
R0000365,O0006579,P0204,2023-04-05,damaged item
R0000366,O0006581,P0138,2023-04-10,late delivery
R0000367,O0006597,P0121,2023-03-12,changed mind
R0000368,O0006610,P0258,2023-03-30,late delivery
R0000369,O0006627,P0001,2023-04-16,allergic reaction
R0000370,O0006631,P0287,2023-03-21,allergic reaction
R0000371,O0006662,P0125,2023-04-06,wrong product
R0000372,O0006693,P0020,2023-04-09,allergic reaction
R0000373,O0006701,P0284,2023-04-03,late delivery
R0000374,O0006703,P0027,2023-03-23,damaged item
R0000375,O0006703,P0078,2023-03-16,changed mind
R0000376,O0006711,P0027,2023-03-30,allergic reaction
R0000377,O0006746,P0226,2023-04-09,changed mind
R0000378,O0006763,P0173,2023-04-01,allergic reaction
R0000379,O0006770,P0020,2023-03-24,wrong product
R0000380,O0006783,P0258,2023-04-11,late delivery
R0000381,O0006786,P0038,2023-03-22,late delivery
R0000382,O0006791,P0287,2023-04-06,changed mind
R0000383,O0006803,P0227,2023-04-01,allergic reaction
R0000384,O0006810,P0185,2023-04-12,changed mind
R0000385,O0006839,P0027,2023-04-18,late delivery
R0000386,O0006854,P0233,2023-04-02,changed mind
R0000387,O0006855,P0070,2023-03-23,changed mind
R0000388,O0006858,P0258,2023-03-25,changed mind
R0000389,O0006866,P0027,2023-04-04,changed mind
R0000390,O0006866,P0284,2023-03-19,late delivery
R0000391,O0006883,P0054,2023-03-31,damaged item
R0000392,O0006891,P0027,2023-03-25,late delivery
R0000393,O0006995,P0020,2023-03-19,wrong product
R0000394,O0006998,P0252,2023-03-16,changed mind
R0000395,O0007012,P0284,2023-04-05,changed mind
R0000396,O0007016,P0055,2023-03-20,allergic reaction
R0000397,O0007021,P0012,2023-04-10,allergic reaction
R0000398,O0007028,P0213,2023-04-11,changed mind
R0000399,O0007040,P0125,2023-04-04,changed mind
R0000400,O0007068,P0287,2023-03-31,late delivery
R0000401,O0007086,P0274,2023-03-23,allergic reaction
R0000402,O0007088,P0038,2023-04-02,changed mind
R0000403,O0007118,P0125,2023-04-11,allergic reaction
R0000404,O0007131,P0292,2023-03-27,allergic reaction
R0000405,O0007145,P0258,2023-03-21,allergic reaction
R0000406,O0007158,P0124,2023-04-02,allergic reaction
R0000407,O0007172,P0181,2023-03-27,changed mind
R0000408,O0007201,P0039,2023-04-07,wrong product
R0000409,O0007209,P0001,2023-04-19,allergic reaction
R0000410,O0007209,P0055,2023-03-21,allergic reaction
R0000411,O0007223,P0226,2023-04-20,wrong product
R0000412,O0007228,P0258,2023-04-13,allergic reaction
R0000413,O0007237,P0082,2023-03-24,late delivery
R0000414,O0007248,P0038,2023-03-22,allergic reaction
R0000415,O0007254,P0258,2023-04-05,damaged item
R0000416,O0007254,P0226,2023-04-13,changed mind
R0000417,O0007265,P0226,2023-04-07,damaged item
R0000418,O0007304,P0226,2023-04-16,changed mind
R0000419,O0007308,P0252,2023-04-17,changed mind
R0000420,O0007314,P0020,2023-03-17,late delivery
R0000421,O0007320,P0125,2023-04-14,changed mind
R0000422,O0007327,P0285,2023-04-21,changed mind
R0000423,O0007331,P0258,2023-03-29,changed mind
R0000424,O0007348,P0038,2023-04-09,late delivery
R0000425,O0007352,P0287,2023-03-26,allergic reaction
R0000426,O0007356,P0125,2023-03-31,allergic reaction
R0000427,O0007364,P0001,2023-04-07,allergic reaction
R0000428,O0007369,P0020,2023-04-03,changed mind
R0000429,O0007379,P0181,2023-04-09,late delivery
R0000430,O0007441,P0269,2023-04-07,allergic reaction
R0000431,O0007458,P0274,2023-04-22,allergic reaction
R0000432,O0007465,P0038,2023-04-25,damaged item
R0000433,O0007478,P0154,2023-04-22,wrong product
R0000434,O0007499,P0274,2023-04-10,changed mind
R0000435,O0007517,P0003,2023-04-23,damaged item
R0000436,O0007538,P0064,2023-04-24,allergic reaction
R0000437,O0007547,P0233,2023-04-10,damaged item
R0000438,O0007568,P0023,2023-04-16,late delivery
R0000439,O0007583,P0020,2023-04-03,allergic reaction
R0000440,O0007608,P0257,2023-04-09,wrong product
R0000441,O0007624,P0027,2023-03-23,allergic reaction
R0000442,O0007636,P0233,2023-04-06,wrong product
R0000443,O0007657,P0006,2023-04-23,allergic reaction
R0000444,O0007661,P0254,2023-04-26,changed mind
R0000445,O0007685,P0258,2023-03-30,wrong product
R0000446,O0007727,P0117,2023-04-11,damaged item
R0000447,O0007741,P0023,2023-03-27,wrong product
R0000448,O0007748,P0258,2023-03-28,damaged item
R0000449,O0007751,P0227,2023-04-11,damaged item
R0000450,O0007777,P0020,2023-04-21,changed mind
R0000451,O0007779,P0274,2023-04-18,allergic reaction
R0000452,O0007825,P0003,2023-04-07,allergic reaction
R0000453,O0007835,P0125,2023-04-12,late delivery
R0000454,O0007837,P0027,2023-04-20,damaged item
R0000455,O0007847,P0181,2023-04-08,allergic reaction
R0000456,O0007853,P0240,2023-04-25,changed mind
R0000457,O0007886,P0078,2023-04-03,late delivery
R0000458,O0007892,P0020,2023-04-20,late delivery
R0000459,O0007922,P0226,2023-04-14,wrong product
R0000460,O0007926,P0226,2023-04-06,allergic reaction
R0000461,O0007933,P0226,2023-04-03,damaged item
R0000462,O0007934,P0027,2023-05-01,changed mind
R0000463,O0007948,P0027,2023-04-13,changed mind
R0000464,O0007951,P0287,2023-04-20,wrong product
R0000465,O0007957,P0257,2023-03-31,changed mind
R0000466,O0007962,P0082,2023-04-13,damaged item
R0000467,O0007976,P0027,2023-04-25,late delivery
R0000468,O0007978,P0036,2023-03-31,allergic reaction
R0000469,O0007988,P0023,2023-04-16,wrong product
R0000470,O0007989,P0095,2023-03-30,wrong product
R0000471,O0007993,P0274,2023-04-04,changed mind
R0000472,O0008011,P0020,2023-04-03,changed mind
R0000473,O0008027,P0252,2023-04-26,wrong product
R0000474,O0008070,P0027,2023-04-24,changed mind
R0000475,O0008085,P0285,2023-04-09,late delivery
R0000476,O0008094,P0287,2023-04-02,late delivery
R0000477,O0008131,P0078,2023-04-16,wrong product
R0000478,O0008136,P0285,2023-04-09,damaged item
R0000479,O0008140,P0244,2023-04-13,changed mind
R0000480,O0008146,P0258,2023-03-30,changed mind
R0000481,O0008148,P0258,2023-04-06,damaged item
R0000482,O0008156,P0001,2023-04-11,allergic reaction
R0000483,O0008164,P0274,2023-04-27,changed mind
R0000484,O0008188,P0127,2023-04-14,allergic reaction
R0000485,O0008226,P0027,2023-04-20,changed mind
R0000486,O0008236,P0038,2023-04-20,late delivery
R0000487,O0008237,P0155,2023-04-07,wrong product
R0000488,O0008245,P0227,2023-04-15,damaged item
R0000489,O0008253,P0285,2023-04-03,damaged item
R0000490,O0008279,P0027,2023-04-30,allergic reaction
R0000491,O0008291,P0121,2023-04-05,allergic reaction
R0000492,O0008301,P0251,2023-04-03,damaged item
R0000493,O0008315,P0258,2023-04-06,late delivery
R0000494,O0008322,P0147,2023-04-27,changed mind
R0000495,O0008331,P0020,2023-04-04,wrong product
R0000496,O0008347,P0227,2023-04-16,changed mind
R0000497,O0008372,P0274,2023-04-13,allergic reaction
R0000498,O0008382,P0206,2023-04-19,wrong product
R0000499,O0008424,P0181,2023-04-03,damaged item
R0000500,O0008448,P0003,2023-03-31,changed mind
R0000501,O0008502,P0055,2023-04-21,allergic reaction
R0000502,O0008537,P0119,2023-04-24,wrong product
R0000503,O0008556,P0274,2023-04-05,changed mind
R0000504,O0008568,P0258,2023-05-01,changed mind
R0000505,O0008569,P0274,2023-04-14,allergic reaction
R0000506,O0008575,P0027,2023-05-04,allergic reaction
R0000507,O0008622,P0160,2023-04-21,changed mind
R0000508,O0008658,P0161,2023-04-16,damaged item
R0000509,O0008687,P0226,2023-04-11,allergic reaction
R0000510,O0008721,P0020,2023-04-27,damaged item
R0000511,O0008722,P0023,2023-04-06,changed mind
R0000512,O0008758,P0053,2023-04-18,changed mind
R0000513,O0008771,P0274,2023-04-11,wrong product
R0000514,O0008787,P0287,2023-05-02,late delivery
R0000515,O0008797,P0258,2023-04-18,late delivery
R0000516,O0008801,P0274,2023-04-08,damaged item
R0000517,O0008826,P0009,2023-04-17,damaged item
R0000518,O0008830,P0078,2023-04-24,allergic reaction
R0000519,O0008833,P0274,2023-04-18,changed mind
R0000520,O0008833,P0020,2023-04-18,wrong product
R0000521,O0008835,P0240,2023-04-11,damaged item
R0000522,O0008858,P0274,2023-04-26,changed mind
R0000523,O0008860,P0252,2023-04-11,changed mind
R0000524,O0008909,P0020,2023-04-23,allergic reaction
R0000525,O0008920,P0027,2023-05-05,damaged item
R0000526,O0008937,P0285,2023-04-25,changed mind
R0000527,O0008953,P0125,2023-05-04,allergic reaction
R0000528,O0008983,P0274,2023-04-25,damaged item
